grading,R,G,B,H_HSV,S_HSV,V_HSV,H_HSI,S_HSI,I_HSI,CONTRAST,CORRELATION,ENERGY,HOMOGENEITY
A,96.9287109375,54.576171875,70.9599609375,333.36456,0.49064568,0.38097045,5.8272963,0.33088753,0.29080373,1312.9153225806638,0.43949262516499793,0.03012409838202505,0.09558647715653376
A,86.4736328125,34.447265625,48.3115234375,343.15656,0.6185746,0.34117648,6.0075407,0.41226044,0.22121885,269.96169354838946,0.35802314548881337,0.04573103315408847,0.1607520856640721
A,86.8984375,36.0146484375,48.3388671875,345.36496,0.59740055,0.3407782,6.0464125,0.38752174,0.22385877,203.91834677419544,0.4496007134857743,0.046682204106929776,0.16851374250023257
A,85.376953125,37.0673828125,49.802734375,343.9513,0.57742757,0.3348116,6.020712,0.37146643,0.22515959,203.78931451613116,0.4624092973792545,0.04477100401452138,0.16245276066840952
A,83.7412109375,33.3212890625,46.6376953125,343.19168,0.6198721,0.33074066,6.0082054,0.41300038,0.2139872,275.6794354838734,0.32539817357177464,0.04669308700813991,0.17065521863486025
A,84.2353515625,34.72265625,46.625,345.48114,0.5998293,0.33033472,6.0486307,0.38975286,0.2164484,205.77116935484025,0.42390914326947776,0.04886254152579616,0.1747414676525001
A,82.6279296875,35.583984375,47.9853515625,343.98248,0.58149827,0.3240311,6.0215163,0.3755928,0.21725135,218.2076612903243,0.4186396129889411,0.04318824160647552,0.14761371310067342
A,85.0498046875,33.6767578125,49.533203125,341.37427,0.6173862,0.33352864,5.9745874,0.42057946,0.21994743,278.2953629032275,0.32091768013356564,0.048836538362054746,0.18241504770379466
A,81.7119140625,33.013671875,48.947265625,340.18387,0.61086357,0.32043886,5.9524946,0.41723993,0.21395144,289.82459677419547,0.34626227802468856,0.050272006612064206,0.1868091121544933
A,87.3525390625,35.65625,51.76171875,340.91983,0.61520123,0.342559,5.9656296,0.42370385,0.2284582,540.5151209677475,0.3169620443760751,0.03952075762885594,0.13617103964240596
A,83.1591796875,33.0732421875,48.478515625,341.3979,0.6138618,0.32611448,5.9748416,0.41620764,0.21530843,180.43548387096976,0.44606255723474864,0.048092179201116345,0.16054644966551013
A,79.6484375,31.68359375,47.21484375,340.4014,0.6131729,0.31234682,5.95652,0.41786385,0.20725083,190.2106854838722,0.34258678159635475,0.04973345315945261,0.17683412044728616
A,87.6787109375,36.287109375,51.755859375,341.60687,0.6083573,0.3438381,5.9781713,0.4146127,0.22970156,433.9707661290372,0.4003081413882527,0.03859057407772343,0.11780605308361035
A,84.5185546875,35.8896484375,53.6640625,337.7948,0.59932065,0.3314453,5.907421,0.41653764,0.22754546,538.4183467741993,0.27441722589655776,0.035526230215133014,0.10265306617227243
A,82.1767578125,35.001953125,51.5458984375,338.65643,0.5952377,0.3222618,5.92345,0.40825385,0.22055507,458.7610887096824,0.27739466116976463,0.03833959728979127,0.12328587554708482
A,75.373046875,30.322265625,47.234375,337.18335,0.61595666,0.2955806,5.896185,0.43269902,0.19990811,370.8497983871001,0.20923865874090364,0.04566432118107388,0.15604808588214428
A,87.73046875,38.4013671875,56.4091796875,337.7974,0.5880529,0.34404105,5.9073887,0.40527415,0.23861572,664.5695564516199,0.2542805021008466,0.03402871054358511,0.09333503261696119
A,84.771484375,37.130859375,54.0126953125,338.3354,0.58407956,0.3324372,5.917299,0.39825135,0.22995432,538.1905241935539,0.2520150470646814,0.03736643748558563,0.12298413781887285
A,77.2626953125,32.099609375,49.9765625,335.85022,0.604887,0.3030216,5.871153,0.4253835,0.2082861,466.86088709677836,0.15950074635082176,0.04336435314967216,0.14187977319870587
A,79.2412109375,33.7802734375,52.5908203125,334.5169,0.6029854,0.3107499,5.845502,0.43113044,0.21648668,605.9516129032315,0.3234404419034653,0.042296686133885396,0.12471081824696195
A,82.236328125,38.7314453125,57.296875,333.83273,0.55992526,0.32249543,5.832396,0.38935986,0.2330257,682.9959677419438,0.33206620327241176,0.03366090293762906,0.1002129978881649
A,78.802734375,35.212890625,53.2900390625,334.7129,0.58047676,0.30903035,5.8492575,0.4063623,0.21870023,542.2530241935536,0.2972560821860983,0.035903233505056496,0.11595852784029215
A,79.4853515625,33.8232421875,52.6845703125,334.5447,0.600963,0.31170726,5.846008,0.42878047,0.21698454,521.0675403225858,0.3616791302395242,0.04462322576389404,0.13851338788712356
A,81.892578125,38.583984375,56.826171875,334.19,0.556839,0.32114738,5.839099,0.38483834,0.23176828,555.6885080645217,0.3957964058471146,0.03624128631501493,0.11716854230338647
A,78.10546875,34.951171875,52.1826171875,335.63095,0.57610834,0.306296,5.8665066,0.39810705,0.21599904,386.6018145161329,0.41498912862190507,0.03908769348859104,0.12576780476543256
A,61.693359375,31.734375,48.587890625,317.65564,0.5382947,0.24951747,5.5451775,0.37938946,0.18564135,755.573588709687,0.3331135383786673,0.03159763713439076,0.12595404289894271
A,39.697265625,24.6572265625,41.4453125,284.13382,0.53049326,0.18725875,4.9536457,0.35552526,0.13830042,694.7026209677499,0.32686147381820924,0.05170201637904341,0.1694350294720872
A,24.8310546875,21.2529296875,38.71875,252.21072,0.53064054,0.15701595,4.3968887,0.32171002,0.11085326,625.697580645166,0.1948873830017468,0.07339166615515764,0.2300078705682576
A,58.21875,29.455078125,45.8310546875,316.92596,0.54870725,0.2354971,5.531185,0.39021105,0.1745162,603.9002016129107,0.39486177563400676,0.03136360723004928,0.1320756858952048
