grading,R,G,B,H_HSV,S_HSV,V_HSV,H_HSI,S_HSI,I_HSI,CONTRAST,CORRELATION,ENERGY,HOMOGENEITY
A,85.515625,37.177734375,49.9609375,343.91724,0.57763946,0.3353554,6.020178,0.37199566,0.2256919,202.7258064516147,0.5025090485322186,0.04441207816917486,0.1604849084017396
A,86.333984375,35.4697265625,49.0087890625,343.7493,0.60853016,0.3386987,6.0175133,0.4060793,0.22328433,391.61592741935857,0.36398079466770467,0.03612895350293817,0.12277958943574457
A,84.0654296875,34.6591796875,46.6533203125,345.33685,0.6009108,0.32966837,6.0460787,0.3915335,0.21618032,233.68548387096965,0.40926910034422864,0.04755565055641663,0.16393089910331837
A,82.8525390625,35.7568359375,48.2392578125,343.90833,0.5819299,0.32491195,6.020211,0.37661657,0.2181028,232.31149193548595,0.44989018883283655,0.042899037965631374,0.14378991706031943
A,83.8642578125,34.46484375,47.263671875,344.21567,0.6088963,0.32894838,6.025765,0.4055102,0.21646115,411.4909274193592,0.3070606363223527,0.03789974031674867,0.11861639137591451
A,84.6416015625,33.986328125,49.95703125,340.93896,0.6121708,0.33192784,5.966442,0.41640308,0.2203725,260.59778225806724,0.36998869697428605,0.05022144639952198,0.17137571146695535
A,80.93359375,32.4111328125,48.3671875,340.09088,0.61264014,0.31738666,5.950781,0.4187091,0.21138814,272.08165322580817,0.279963893335311,0.05207411902537162,0.1936075272949324
A,88.26171875,36.369140625,52.2880859375,341.24353,0.6096142,0.3461244,5.9716353,0.41684425,0.2312666,412.27721774193947,0.42606333916033357,0.03932097755008459,0.12978469178354343
A,83.287109375,33.287109375,48.7685546875,341.25244,0.6124845,0.32661614,5.972127,0.4154178,0.21613437,209.47379032258272,0.3988527016998523,0.04629420364195676,0.16576989095140024
A,79.7177734375,31.8115234375,47.4130859375,340.28003,0.61249775,0.31261873,5.9542336,0.41775173,0.20776783,207.09576612903356,0.3228001942051348,0.050599416558251745,0.18506517254627014
A,87.572265625,36.1806640625,51.564453125,341.70862,0.6091075,0.34342068,5.980056,0.4150653,0.22917306,418.78528225806855,0.4273286563178323,0.03803356749982528,0.119268675902129
A,84.603515625,36.1650390625,53.7763671875,337.90594,0.59595096,0.33177853,5.909573,0.4126162,0.2281633,540.6905241935556,0.2457725977139012,0.0357827406235862,0.09494965305543891
A,82.1572265625,35.2119140625,51.595703125,338.75153,0.5931875,0.32218522,5.9252596,0.40616322,0.2208691,452.28024193548913,0.2961000332455374,0.03796002093500522,0.12315514249101445
A,75.2177734375,30.5390625,47.48046875,336.90308,0.6129385,0.294987,5.8910313,0.43051487,0.20031022,339.0211693548419,0.2986307645687374,0.04617331649435088,0.16438136314566404
A,87.4130859375,38.115234375,56.2216796875,337.63376,0.5909689,0.34280026,5.9043694,0.40913552,0.2375817,737.8588709677496,0.1960342320020906,0.034058560295415596,0.09711801044058771
A,84.7900390625,37.056640625,53.951171875,338.38254,0.5851265,0.33250996,5.918194,0.39914984,0.22980112,588.4556451612964,0.19529792909459937,0.037134557371761565,0.12629736598094987
A,77.953125,32.64453125,50.576171875,335.85107,0.60097015,0.305733,5.8712416,0.4211136,0.21068476,428.2893145161327,0.2220503561785015,0.04381893075792628,0.151978394616744
A,79.5615234375,34.0986328125,52.8583984375,334.57214,0.6002428,0.312006,5.8465366,0.42839158,0.21767133,595.2802419354905,0.3162657212095001,0.03977705575997725,0.12040818616397095
A,82.3583984375,38.751953125,57.333984375,333.87247,0.560285,0.32297415,5.8331804,0.38979983,0.23326057,673.0221774193644,0.32369428598459243,0.03335002860821239,0.09823223280687456
A,78.2431640625,34.6083984375,52.6640625,334.77496,0.5850414,0.30684364,5.8505006,0.41062772,0.21636032,536.8145161290378,0.303977955470766,0.036037425265563215,0.11219892696642061
A,79.677734375,34.0244140625,52.8740234375,334.55908,0.60068744,0.3124617,5.8463106,0.42870414,0.21774665,538.9838709677473,0.36784862691134723,0.04538529913101045,0.1457794680777151
A,81.8740234375,38.4541015625,56.705078125,334.24323,0.55905104,0.3210746,5.8400583,0.38711005,0.23141597,579.0776209677479,0.3822103041701586,0.03590323350505641,0.1077582979131237
A,77.904296875,34.69921875,51.955078125,335.6176,0.5783208,0.30550706,5.866205,0.40052044,0.21510929,425.45866935484236,0.357525280762422,0.03773852126478779,0.12024493277134231
A,58.4296875,29.697265625,46.2822265625,315.66214,0.54695225,0.23784086,5.510933,0.38810486,0.17569828,770.8739919354935,0.29355680527757805,0.03232100714089042,0.13321869302398265
A,37.259765625,23.6044921875,40.115234375,280.76508,0.53345305,0.17993644,4.895448,0.35583007,0.13199934,747.7116935483948,0.2664244260796986,0.054668334124825226,0.1869835601923798
A,24.0048828125,20.9833984375,38.302734375,250.28122,0.52697605,0.15444624,4.3629007,0.3165068,0.10887715,594.4596774193594,0.17949134790492874,0.075369256623059,0.23570885337230502
A,55.5908203125,27.7978515625,43.9150390625,315.3647,0.5527989,0.22595742,5.5045266,0.3944384,0.16641009,474.1038306451669,0.4575626923016786,0.03414795299587575,0.14145180129923035
A,34.79296875,21.763671875,37.6748046875,279.7137,0.5449598,0.16948913,4.8773975,0.3658924,0.12317837,511.79133064516776,0.38050458570289925,0.05672994461045121,0.19520998310385404
A,21.4521484375,19.125,35.64453125,248.58708,0.5468381,0.14411384,4.336522,0.33261722,0.0996362,458.9022177419391,0.2217420407112705,0.07360942041745397,0.22328980843494917
A,29.8037109375,21.890625,38.8056640625,265.9613,0.5429113,0.16287914,4.6436577,0.3566772,0.11830067,500.3810483871024,0.3862906619706422,0.07457633765395778,0.24036405170744402
A,61.6484375,34.95703125,52.119140625,308.4966,0.5122768,0.25746402,5.385793,0.3493148,0.19441126,587.1512096774261,0.5518776431439902,0.029870024979898015,0.11594066799742574
A,84.6826171875,44.9697265625,64.0439453125,329.80862,0.4907436,0.33226487,5.757802,0.33115828,0.25319776,518.8215725806513,0.3856640941737673,0.030708762523645527,0.09876212097031396
A,31.7041015625,23.2998046875,42.0830078125,265.4005,0.53408647,0.17590381,4.632786,0.34278113,0.12691101,587.9556451612968,0.3453538880959388,0.08315768537758168,0.29373545793954425
A,64.28125,35.974609375,54.912109375,307.98648,0.512358,0.2709827,5.3767166,0.34436095,0.20283397,715.4254032258153,0.45711941908558473,0.034650155730438066,0.14810540299815247
A,86.9716796875,44.75390625,65.357421875,329.622,0.5049601,0.34162837,5.7545233,0.3426189,0.25762486,522.7772177419401,0.3531334916408133,0.03608673854771909,0.13816406521112734
A,29.3857421875,21.4248046875,38.9150390625,265.67267,0.54318714,0.16242725,4.6367164,0.35445386,0.11728836,391.42943548387564,0.4306614086817592,0.08268587360649106,0.255059510520127
A,61.4111328125,34.9599609375,52.814453125,307.2545,0.51273537,0.2578125,5.363503,0.34972095,0.1950138,526.8437500000072,0.5909639275235995,0.03041783522099803,0.11818093453634232
A,84.8525390625,45.3408203125,64.998046875,328.88782,0.48641923,0.3328623,5.740548,0.32933646,0.25515217,422.84576612903714,0.4741846684858713,0.031070635095610512,0.09063858552765502
A,61.365234375,34.630859375,51.435546875,309.4438,0.5164832,0.25662532,5.403443,0.35087484,0.19272111,482.5695564516193,0.6144264958426056,0.03026712660484433,0.11728694703553842
A,82.7900390625,43.923828125,62.8046875,329.56638,0.49047422,0.3249387,5.7534165,0.33108798,0.24773669,453.813508064521,0.40755505317820256,0.030758359480630514,0.09527501903654348
